month,db-name,value
2020-06,Redis,150.046
2020-07,Redis,152.874
2020-08,Redis,151.857
2020-09,Redis,153.284
2020-10,Redis,155.419
2020-11,Redis,153.627
2020-12,Redis,155.01
2021-01,Redis,152.572
2021-02,Redis,154.149
2012-10,Elasticsearch,
2012-11,Elasticsearch,
2012-12,Elasticsearch,
2013-01,Elasticsearch,7.397
2013-02,Elasticsearch,6.759
2013-03,Elasticsearch,8.315
2013-04,Elasticsearch,8.541
2013-05,Elasticsearch,9.515
2013-06,Elasticsearch,10.642
2013-07,Elasticsearch,11.774
2013-08,Elasticsearch,13.762
2013-09,Elasticsearch,12.97
2013-10,Elasticsearch,12.896
2013-11,Elasticsearch,17.12
2013-12,Elasticsearch,17.57
2014-01,Elasticsearch,23.379
2014-02,Elasticsearch,26.172
2014-03,Elasticsearch,29.798
2014-04,Elasticsearch,32.064
2014-05,Elasticsearch,33.95
2014-06,Elasticsearch,36.587
2014-07,Elasticsearch,38.798
2014-08,Elasticsearch,41.516
2014-09,Elasticsearch,42.821
2014-10,Elasticsearch,43.065
2014-11,Elasticsearch,45.896
2014-12,Elasticsearch,49.038
2015-01,Elasticsearch,52.836
2015-02,Elasticsearch,58.924
2015-03,Elasticsearch,64.663
2015-04,Elasticsearch,64.835
2015-05,Elasticsearch,70.091
2015-06,Elasticsearch,70.157
2015-07,Elasticsearch,69.641
2015-08,Elasticsearch,71.55
2015-09,Elasticsearch,70.227
2015-10,Elasticsearch,74.773
2015-11,Elasticsearch,76.566
2015-12,Elasticsearch,77.212
2016-01,Elasticsearch,77.842
2016-02,Elasticsearch,80.167
2016-03,Elasticsearch,82.579
2016-04,Elasticsearch,86.313
2016-05,Elasticsearch,87.414
2016-06,Elasticsearch,88.621
2016-07,Elasticsearch,92.487
2016-08,Elasticsearch,96.477
2016-09,Elasticsearch,99.117
2016-10,Elasticsearch,102.577
2016-11,Elasticsearch,103.272
2016-12,Elasticsearch,106.169
2017-01,Elasticsearch,108.309
2017-02,Elasticsearch,106.225
2017-03,Elasticsearch,105.669
2017-04,Elasticsearch,108.82
2017-05,Elasticsearch,111.557
2017-06,Elasticsearch,115.978
2017-07,Elasticsearch,117.646
2017-08,Elasticsearch,119.998
2017-09,Elasticsearch,120.233
2017-10,Elasticsearch,119.413
2017-11,Elasticsearch,119.781
2017-12,Elasticsearch,122.552
2018-01,Elasticsearch,125.317
2018-02,Elasticsearch,128.544
2018-03,Elasticsearch,131.356
2018-04,Elasticsearch,130.439
2018-05,Elasticsearch,131.041
2018-06,Elasticsearch,136.224
2018-07,Elasticsearch,138.119
2018-08,Elasticsearch,142.606
2018-09,Elasticsearch,142.327
2018-10,Elasticsearch,143.46
2018-11,Elasticsearch,144.704
2018-12,Elasticsearch,143.441
2019-01,Elasticsearch,145.249
2019-02,Elasticsearch,142.789
2019-03,Elasticsearch,145.999
2019-04,Elasticsearch,148.619
2019-05,Elasticsearch,148.823
2019-06,Elasticsearch,148.814
2019-07,Elasticsearch,149.085
2019-08,Elasticsearch,149.271
2019-09,Elasticsearch,150.173
2019-10,Elasticsearch,148.402
2019-11,Elasticsearch,150.252
2019-12,Elasticsearch,151.438
2020-01,Elasticsearch,152.159
2020-02,Elasticsearch,149.174
2020-03,Elasticsearch,148.912
2020-04,Elasticsearch,149.128
2020-05,Elasticsearch,149.685
2020-06,Elasticsearch,151.586
2020-07,Elasticsearch,152.319
2020-08,Elasticsearch,150.499
2020-09,Elasticsearch,153.844
2020-10,Elasticsearch,151.552
2020-11,Elasticsearch,152.49
2020-12,Elasticsearch,151.252
2021-01,Elasticsearch,151
2021-02,Elasticsearch,152.34
2012-10,SQLite,88.28
2012-11,SQLite,84.538
2012-12,SQLite,80.358
2013-01,SQLite,81.01
2013-02,SQLite,83.258
2013-03,SQLite,88.942
2013-04,SQLite,89.715
2013-05,SQLite,87.814
2013-06,SQLite,82.807
2013-07,SQLite,79.445
2013-08,SQLite,82.779
2013-09,SQLite,77.878
2013-10,SQLite,78.776
2013-11,SQLite,99.499
2013-12,SQLite,97.299
2014-01,SQLite,93.004
2014-02,SQLite,92.977
2014-03,SQLite,90.172
2014-04,SQLite,89.291
2014-05,SQLite,89.184
2014-06,SQLite,91.156
2014-07,SQLite,88.869
2014-08,SQLite,92.613
2014-09,SQLite,94.951
2014-10,SQLite,95.279
2014-11,SQLite,94.704
2014-12,SQLite,96.197
2015-01,SQLite,99.562
2015-02,SQLite,101.706
2015-03,SQLite,102.298
2015-04,SQLite,105.161
2015-05,SQLite,107.973
2015-06,SQLite,105.871
2015-07,SQLite,105.818
2015-08,SQLite,107.655
2015-09,SQLite,102.666
2015-10,SQLite,103.45
2015-11,SQLite,100.85
2015-12,SQLite,103.737
2016-01,SQLite,106.782
2016-02,SQLite,105.771
2016-03,SQLite,107.963
2016-04,SQLite,107.261
2016-05,SQLite,106.785
2016-06,SQLite,108.534
2016-07,SQLite,109.859
2016-08,SQLite,108.622
2016-09,SQLite,108.568
2016-10,SQLite,112
2016-11,SQLite,110.833
2016-12,SQLite,112.376
2017-01,SQLite,115.308
2017-02,SQLite,116.186
2017-03,SQLite,113.796
2017-04,SQLite,116.069
2017-05,SQLite,116.706
2017-06,SQLite,113.864
2017-07,SQLite,110.846
2017-08,SQLite,112.035
2017-09,SQLite,111.981
2017-10,SQLite,112.756
2017-11,SQLite,115.194
2017-12,SQLite,114.255
2018-01,SQLite,117.272
2018-02,SQLite,114.814
2018-03,SQLite,115.988
